PassengerId,Survived
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,0
189,1
190,0
191,1
192,0
193,1
194,0
195,0
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,1
212,0
213,1
214,0
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,1
229,1
230,0
231,0
232,1
233,1
234,0
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,1
243,1
244,1
245,0
246,1
247,0
248,0
249,0
250,0
251,1
252,1
253,0
254,0
255,1
256,0
257,0
258,1
259,1
260,0
261,1
262,0
263,1
264,0
265,1
266,0
267,0
268,0
269,1
270,0
271,0
272,0
273,1
274,0
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,1
289,0
290,1
291,0
292,1
293,0
294,0
295,1
296,0
297,0
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,0
311,1
312,1
313,0
314,0
315,0
316,1
317,0
318,0
319,1
320,0
321,1
322,1
323,1
324,0
325,0
326,0
327,1
328,1
329,0
330,1
331,0
332,0
333,1
334,0
335,1
336,1
337,1
338,0
339,0
340,1
341,1
342,1
343,0
344,0
345,1
346,0
347,0
348,1
349,0
350,0
351,0
352,1
353,1
354,0
355,1
356,0
