PassengerId,Survived
357,1
358,0
359,1
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,1
372,0
373,1
374,1
375,0
376,0
377,1
378,1
379,0
380,0
381,1
382,0
383,1
384,0
385,1
386,0
387,0
388,1
389,1
390,0
391,1
392,0
393,0
394,1
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,0
428,1
429,1
430,0
431,0
432,1
433,1
434,0
435,1
436,1
437,0
438,0
439,0
440,0
441,1
442,0
443,1
444,1
445,0
446,0
447,1
448,0
449,1
450,0
451,0
452,1
453,0
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,1
470,1
471,1
472,0
473,0
474,0
475,0
476,1
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,1
489,0
490,0
491,1
492,0
493,0
494,1
495,0
496,0
497,1
498,0
499,1
500,1
501,0
502,1
503,1
504,0
505,1
506,1
507,0
508,0
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,0
517,0
518,0
519,1
520,1
521,1
522,0
523,1
524,1
525,1
526,0
527,0
528,0
529,0
530,0
531,1
532,1
533,0
534,1
