PassengerId,Survived
713,1
714,1
715,0
716,0
717,1
718,0
719,0
720,0
721,0
722,0
723,1
724,0
725,0
726,0
727,0
728,1
729,0
730,1
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,0
746,1
747,0
748,1
749,0
750,0
751,1
752,0
753,0
754,0
755,1
756,0
757,0
758,0
759,0
760,1
761,0
762,0
763,0
764,1
765,1
766,1
767,0
768,1
769,0
770,1
771,0
772,0
773,0
774,1
775,1
776,0
777,0
778,1
779,0
780,1
781,0
782,1
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,1
795,0
796,0
797,0
798,0
799,1
800,0
801,1
802,0
803,1
804,1
805,0
806,0
807,0
808,0
809,0
810,1
811,0
812,0
813,0
814,0
815,1
816,0
817,1
818,0
819,0
820,0
821,1
822,0
823,0
824,0
825,0
826,0
827,1
828,0
829,0
830,1
831,0
832,1
833,1
834,0
835,1
836,1
837,0
838,1
839,1
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,1
851,0
852,1
853,1
854,0
855,0
856,1
857,1
858,0
859,1
860,1
861,0
862,0
863,0
864,0
865,1
866,1
867,0
868,0
869,1
870,1
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,1
880,1
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,1
890,0
